movie_name,ranking,score,score_num
秒速5厘米,192,8.3,306745
再次出发之纽约遇见你,193,8.5,175199
青蛇,194,8.4,227514
头脑特工队,195,8.7,234465
海盗电台,196,8.6,168147
房间,197,8.8,159510
哪吒闹海,198,8.9,82887
东京物语,199,9.2,51917
末路狂花,200,8.7,107308
绿里奇迹,201,8.7,109206
请以你的名字呼唤我,202,8.8,150417
终结者2：审判日,203,8.6,144489
勇闯夺命岛,204,8.5,145004
源代码,205,8.3,417767
这个男人来自地球,206,8.5,185940
新龙门客栈,207,8.5,188475
黑客帝国3：矩阵革命,208,8.5,159784
模仿游戏,209,8.5,262022
卡萨布兰卡,210,8.6,127449
荒野生存,211,8.6,130312
变脸,212,8.4,218857
城市之光,213,9.2,45264
迁徙的鸟,214,9.1,52534
E.T. 外星人,215,8.5,156290
发条橙,216,8.4,189436
美国丽人,217,8.4,189296
无耻混蛋,218,8.4,227935
黄金三镖客,219,9.1,52433
初恋这件小事,220,8.3,471710
一个叫欧维的男人决定去死,221,8.7,120892
英国病人,222,8.4,176677
燕尾蝶,223,8.6,109275
你的名字。,224,8.4,478929
爱在午夜降临前,225,8.8,119007
非常嫌疑犯,226,8.6,118730
叫我第一名,227,8.6,110779
穆赫兰道,228,8.3,239326
勇士,229,8.9,89005
无人知晓,230,9.0,56880
疯狂的石头,231,8.3,321518
无敌破坏王,232,8.6,187932
国王的演讲,233,8.3,346700
上帝也疯狂,234,8.6,97737
血钻,235,8.5,134695
步履不停,236,8.8,73974
蓝色大门,237,8.3,275972
枪火,238,8.6,101460
彗星来的那一夜,239,8.4,180902
大卫·戈尔的一生,240,8.6,94867
爱·回家,241,9.0,48098
遗愿清单,242,8.5,131087
我爱你,243,9.0,58488
千钧一发,244,8.7,87451
荒岛余生,245,8.5,136596
麦兜故事,246,8.5,129893
暖暖内含光,247,8.4,146837
黑鹰坠落,248,8.5,115686
曾经,249,8.3,205501
月球,250,8.5,146096
